kanal,percobaan,tahap,deskripsi,pc_waktu,device_epoch,device_epoch_wib,nilai_disuntik,relayOn,mesin_menyala
Spindle,3,3,Tahan nilai zona histeresis,2026-07-13T19:47:16.931793,1783946836,2026-07-13 19:47:16,2.8,True,False
Spindle,3,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:47:19.960865,1783946838,2026-07-13 19:47:18,,True,False
Spindle,3,5,Tahan nilai di bawah ambang resume,2026-07-13T19:47:23.005791,1783946842,2026-07-13 19:47:22,2.2,True,False
Spindle,3,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:47:26.011174,1783946844,2026-07-13 19:47:24,,False,True
Spindle,4,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:47:35.112178,1783946854,2026-07-13 19:47:34,4.5,True,False
Spindle,4,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:47:38.142144,1783946856,2026-07-13 19:47:36,,True,False
Spindle,4,3,Tahan nilai zona histeresis,2026-07-13T19:47:41.146816,1783946860,2026-07-13 19:47:40,2.8,True,False
Spindle,4,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:47:44.181332,1783946862,2026-07-13 19:47:42,,True,False
Spindle,4,5,Tahan nilai di bawah ambang resume,2026-07-13T19:47:47.219089,1783946866,2026-07-13 19:47:46,2.2,True,False
Spindle,4,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:47:50.247046,1783946868,2026-07-13 19:47:48,,False,True
Spindle,5,1,Tahan nilai tinggi (harus cutoff),2026-07-13T19:47:59.338464,1783946878,2026-07-13 19:47:58,4.5,True,False
Spindle,5,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T19:48:02.384543,1783946880,2026-07-13 19:48:00,,True,False
Spindle,5,3,Tahan nilai zona histeresis,2026-07-13T19:48:05.429830,1783946884,2026-07-13 19:48:04,2.8,True,False
Spindle,5,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T19:48:08.479920,1783946886,2026-07-13 19:48:06,,True,False
Spindle,5,5,Tahan nilai di bawah ambang resume,2026-07-13T19:48:11.521663,1783946890,2026-07-13 19:48:10,2.2,True,False
Spindle,5,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T19:48:14.570390,1783946892,2026-07-13 19:48:12,,True,False
Stepper_X,1,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:20:58.880605,1783948857,2026-07-13 20:20:57,4.5,True,False,1
Stepper_X,1,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:21:04.916902,1783948863,2026-07-13 20:21:03,,True,False,1
Stepper_X,1,3,Tahan nilai zona histeresis,2026-07-13T20:21:10.952725,1783948869,2026-07-13 20:21:09,2.8,True,False,1
Stepper_X,1,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T20:21:16.985355,1783948875,2026-07-13 20:21:15,,True,False,1
Stepper_X,1,5,Tahan nilai di bawah ambang resume,2026-07-13T20:21:23.036528,1783948883,2026-07-13 20:21:23,2.2,True,False,1
Stepper_X,1,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:21:29.056569,1783948889,2026-07-13 20:21:29,,False,True,1
