kanal,percobaan,tahap,deskripsi,pc_waktu,device_epoch,device_epoch_wib,nilai_disuntik,relayOn,mesin_menyala
Stepper_Z,1,1,Tahan nilai tinggi (harus cutoff),2026-07-13T21:03:13.379922,1783951393,2026-07-13 21:03:13,66.0,True,False,1
Stepper_Z,1,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T21:03:19.405496,1783951399,2026-07-13 21:03:19,,True,False,1
Stepper_Z,1,3,Tahan nilai zona histeresis,2026-07-13T21:03:25.457187,1783951405,2026-07-13 21:03:25,53.0,True,False,1
Stepper_Z,1,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T21:03:31.495099,1783951411,2026-07-13 21:03:31,,True,False,1
Stepper_Z,1,5,Tahan nilai di bawah ambang resume,2026-07-13T21:03:37.522949,1783951417,2026-07-13 21:03:37,47.0,True,False,1
Stepper_Z,1,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T21:03:43.574627,1783951423,2026-07-13 21:03:43,,False,True,1
Stepper_Z,2,1,Tahan nilai tinggi (harus cutoff),2026-07-13T21:03:55.626114,1783951435,2026-07-13 21:03:55,66.0,True,False,1
Stepper_Z,2,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T21:04:01.650807,1783951441,2026-07-13 21:04:01,,True,False,1
Stepper_Z,2,3,Tahan nilai zona histeresis,2026-07-13T21:04:07.694211,1783951447,2026-07-13 21:04:07,53.0,True,False,1
Stepper_Z,2,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T21:04:13.729359,1783951453,2026-07-13 21:04:13,,True,False,1
Stepper_Z,2,5,Tahan nilai di bawah ambang resume,2026-07-13T21:04:19.744480,1783951459,2026-07-13 21:04:19,47.0,True,False,1
Stepper_Z,2,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T21:04:25.762461,1783951465,2026-07-13 21:04:25,,False,True,1
Stepper_Z,3,1,Tahan nilai tinggi (harus cutoff),2026-07-13T21:04:37.816233,1783951477,2026-07-13 21:04:37,66.0,True,False,1
Stepper_Z,3,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T21:04:43.846872,1783951483,2026-07-13 21:04:43,,True,False,1
Stepper_Z,3,3,Tahan nilai zona histeresis,2026-07-13T21:04:49.881493,1783951489,2026-07-13 21:04:49,53.0,True,False,1
Stepper_Z,3,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T21:04:55.921854,1783951495,2026-07-13 21:04:55,,True,False,1
Stepper_Z,3,5,Tahan nilai di bawah ambang resume,2026-07-13T21:05:01.973027,1783951501,2026-07-13 21:05:01,47.0,True,False,1
Stepper_Z,3,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T21:05:07.991197,1783951507,2026-07-13 21:05:07,,False,True,1
Stepper_Z,4,1,Tahan nilai tinggi (harus cutoff),2026-07-13T21:05:20.049791,1783951519,2026-07-13 21:05:19,66.0,True,False,1
Stepper_Z,4,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T21:05:26.094953,1783951525,2026-07-13 21:05:25,,True,False,1
Stepper_Z,4,3,Tahan nilai zona histeresis,2026-07-13T21:05:32.154906,1783951531,2026-07-13 21:05:31,53.0,True,False,1
Stepper_Z,4,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T21:05:38.201713,1783951537,2026-07-13 21:05:37,,True,False,1
Stepper_Z,4,5,Tahan nilai di bawah ambang resume,2026-07-13T21:05:44.236832,1783951543,2026-07-13 21:05:43,47.0,True,False,1
Stepper_Z,4,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T21:05:50.255225,1783951549,2026-07-13 21:05:49,,False,True,1
Stepper_Z,5,1,Tahan nilai tinggi (harus cutoff),2026-07-13T21:06:02.301816,1783951561,2026-07-13 21:06:01,66.0,True,False,1
Stepper_Z,5,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T21:06:08.358123,1783951567,2026-07-13 21:06:07,,True,False,1
Stepper_Z,5,3,Tahan nilai zona histeresis,2026-07-13T21:06:14.411952,1783951573,2026-07-13 21:06:13,53.0,True,False,1
Stepper_Z,5,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T21:06:20.467854,1783951579,2026-07-13 21:06:19,,True,False,1
Stepper_Z,5,5,Tahan nilai di bawah ambang resume,2026-07-13T21:06:26.515697,1783951585,2026-07-13 21:06:25,47.0,True,False,1
Stepper_Z,5,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T21:06:32.561370,1783951591,2026-07-13 21:06:31,,False,True,1
Stepper_Z,6,1,Tahan nilai tinggi (harus cutoff),2026-07-13T21:06:44.626240,1783951603,2026-07-13 21:06:43,66.0,True,False,1
Stepper_Z,6,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T21:06:50.670453,1783951609,2026-07-13 21:06:49,,True,False,1
Stepper_Z,6,3,Tahan nilai zona histeresis,2026-07-13T21:06:56.713694,1783951615,2026-07-13 21:06:55,53.0,True,False,1
Stepper_Z,6,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T21:07:02.747162,1783951621,2026-07-13 21:07:01,,True,False,1
Stepper_Z,6,5,Tahan nilai di bawah ambang resume,2026-07-13T21:07:08.789571,1783951627,2026-07-13 21:07:07,47.0,True,False,1
Stepper_Z,6,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T21:07:14.825478,1783951633,2026-07-13 21:07:13,,False,True,1
Stepper_Z,7,1,Tahan nilai tinggi (harus cutoff),2026-07-13T21:07:26.885659,1783951645,2026-07-13 21:07:25,66.0,True,False,1
Stepper_Z,7,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T21:07:32.943247,1783951653,2026-07-13 21:07:33,,True,False,1
Stepper_Z,7,3,Tahan nilai zona histeresis,2026-07-13T21:07:38.979168,1783951659,2026-07-13 21:07:39,53.0,True,False,1
Stepper_Z,7,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T21:07:44.984762,1783951665,2026-07-13 21:07:45,,True,False,1
Stepper_Z,7,5,Tahan nilai di bawah ambang resume,2026-07-13T21:07:51.019486,1783951671,2026-07-13 21:07:51,47.0,True,False,1
Stepper_Z,7,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T21:07:57.056715,1783951677,2026-07-13 21:07:57,,False,True,1
Stepper_Z,8,1,Tahan nilai tinggi (harus cutoff),2026-07-13T21:08:09.122958,1783951689,2026-07-13 21:08:09,66.0,True,False,1
Stepper_Z,8,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T21:08:15.167850,1783951695,2026-07-13 21:08:15,,True,False,1
Stepper_Z,8,3,Tahan nilai zona histeresis,2026-07-13T21:08:21.196451,1783951701,2026-07-13 21:08:21,53.0,True,False,1
Stepper_Z,8,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T21:08:27.228379,1783951707,2026-07-13 21:08:27,,True,False,1
